Nome,Email,CPF,Tipo Sanguíneo
Bruno Alves,bruno.alves@outlook.com,879.551.218-80,B+
Carla Rodrigues,carla.rodrigues@gmail.com,421.947.121-23,A+
Lucas Silva,lucas.silva@yahoo.com,649.878.173-86,AB-
Fernando Costa,fernando.costa@hotmail.com,400.991.944-79,AB+
,carla.martins@hotmail.com,364.706.712-81,A-
Lucas Alves,lucas.alves@hotmail.com,537.888.341-40,AB+
Beatriz Martins,beatriz.martins@gmail.com,588.799.277-54,AB-
Carla Souza,carla.souza@gmail.com,310.309.506-17,A+
Juliana Silva,juliana.silva@hotmail.com,830.969.775-96,O-
Pedro Alves,pedro.alves@gmail.com,750.381.648-25,A+
Ana Martins,ana.martins@hotmail.com,679.245.955-58,AB-
Ana Souza,ana.souza@yahoo.com,524.685.379-50,A+
Juliana Alves,juliana.alves@yahoo.com,638.523.445-43,B+
,joão.rodrigues@hotmail.com,,AB-
Lucas Costa,lucas.costa@gmail.com,834.897.548-93,AB-
Lucas Pereira,lucas.pereira@outlook.com,250.635.785-18,B-
Carla Lima,carla.lima@outlook.com,719.296.402-42,O-
Lucas Costa,lucas.costa@gmail.com,803.960.867-18,A+
Lucas Rodrigues,lucas.rodrigues@hotmail.com,974.839.279-14,AB-
Juliana Oliveira,juliana.oliveira@yahoo.com,883.254.820-76,O-
Bruno Souza,bruno.souza@hotmail.com,234.322.219-12,AB-
Carla Martins,carla.martins@hotmail.com,739.580.246-34,A+
Ana Rodrigues,ana.rodrigues@gmail.com,850.397.149-41,O+
Juliana Lima,juliana.lima@hotmail.com,386.988.413-97,B-
Carla Costa,carla.costa@yahoo.com,631.313.507-27,AB+
Carla Alves,carla.alves@outlook.com,415.782.269-34,AB-
Lucas Costa,lucas.costa@outlook.com,303.161.768-89,O-
Beatriz Martins,beatriz.martins@outlook.com,233.667.315-47,AB+
Pedro Alves,pedro.alves@outlook.com,989.385.912-30,AB-
Juliana Souza,juliana.souza@outlook.com,161.669.714-78,O-
Ana Souza,ana.souza@gmail.com,365.786.550-93,AB+
,carla.souza@yahoo.com,625.449.588-67,B+
Beatriz Pereira,beatriz.pereira@hotmail.com,496.899.701-50,O-
Beatriz Costa,beatriz.costa@outlook.com,200.299.246-95,A+
João Rodrigues,joão.rodrigues@hotmail.com,,O-
Juliana Oliveira,juliana.oliveira@yahoo.com,317.996.412-73,O+
Carla Pereira,carla.pereira@outlook.com,937.854.634-87,AB-
João Alves,,400.503.483-13,B+
Fernando Ferreira,fernando.ferreira@gmail.com,847.319.701-27,AB-
Pedro Souza,pedro.souza@outlook.com,953.384.626-36,B+
Ana Rodrigues,ana.rodrigues@yahoo.com,473.920.226-98,B-
Bruno Ferreira,bruno.ferreira@hotmail.com,170.603.835-59,O+
Ana Oliveira,ana.oliveira@outlook.com,426.885.426-80,B+
Ana Rodrigues,ana.rodrigues@hotmail.com,316.288.187-22,B-
João Souza,joão.souza@outlook.com,378.272.158-82,B+
Ana Lima,ana.lima@outlook.com,247.925.455-41,AB+
Carla Ferreira,carla.ferreira@hotmail.com,712.473.227-79,O-
Beatriz Pereira,beatriz.pereira@hotmail.com,259.410.784-33,AB-
Fernando Alves,fernando.alves@hotmail.com,,B-
Beatriz Alves,beatriz.alves@gmail.com,250.674.782-23,AB-
Pedro Oliveira,pedro.oliveira@yahoo.com,842.639.194-90,O+
Ana Martins,ana.martins@gmail.com,669.252.314-64,B-
Carla Costa,carla.costa@hotmail.com,387.267.338-62,O+
Maria Rodrigues,maria.rodrigues@gmail.com,,O+
Beatriz Costa,beatriz.costa@gmail.com,219.201.870-35,B-
Lucas Alves,lucas.alves@outlook.com,638.276.584-88,B+
Lucas Ferreira,lucas.ferreira@yahoo.com,504.384.232-79,B+
,lucas.rodrigues@hotmail.com,678.522.202-82,AB+
Pedro Silva,pedro.silva@outlook.com,,B+
Bruno Souza,bruno.souza@hotmail.com,616.251.325-60,A+
Juliana Lima,juliana.lima@gmail.com,689.138.330-87,B-
Carla Silva,carla.silva@outlook.com,906.936.658-78,B+
Fernando Ferreira,fernando.ferreira@hotmail.com,814.812.421-65,A+
Juliana Oliveira,juliana.oliveira@gmail.com,662.978.302-29,AB-
Lucas Martins,lucas.martins@yahoo.com,432.534.828-84,AB-
João Costa,joão.costa@gmail.com,322.518.951-70,B-
Juliana Silva,juliana.silva@outlook.com,705.392.607-90,B-
Beatriz Rodrigues,beatriz.rodrigues@yahoo.com,936.572.569-95,AB-
Lucas Alves,lucas.alves@gmail.com,535.105.284-36,B-
João Oliveira,joão.oliveira@hotmail.com,750.770.686-48,AB+
Maria Oliveira,maria.oliveira@yahoo.com,319.538.613-83,O-
Maria Oliveira,maria.oliveira@outlook.com,397.856.987-27,A-
Pedro Lima,pedro.lima@yahoo.com,481.390.782-62,B+
Pedro Silva,pedro.silva@gmail.com,938.889.293-97,AB-
Lucas Ferreira,lucas.ferreira@hotmail.com,551.511.987-13,AB+
Lucas Lima,lucas.lima@outlook.com,825.199.224-61,O+
Juliana Silva,juliana.silva@gmail.com,616.964.962-51,AB-
Ana Oliveira,ana.oliveira@hotmail.com,813.614.169-95,A-
Lucas Silva,lucas.silva@outlook.com,738.860.440-81,O+
7685,ana.souza@hotmail.com,599.180.719-39,O+
Juliana Silva,juliana.silva@outlook.com,338.105.995-44,B-
Beatriz Souza,beatriz.souza@hotmail.com,403.704.203-41,B+
Carla Oliveira,carla.oliveira@gmail.com,717.743.312-38,O+
Lucas Ferreira,lucas.ferreira@gmail.com,782.872.784-78,B-
Carla Oliveira,carla.oliveira@hotmail.com,774.479.460-68,AB+
Pedro Alves,pedro.alves@hotmail.com,775.717.455-18,AB-
Juliana Rodrigues,juliana.rodrigues@gmail.com,720.345.921-76,AB-
João Costa,joão.costa@gmail.com,931.278.146-34,
Carla Silva,carla.silva@gmail.com,754.405.485-93,AB+
Juliana Rodrigues,juliana.rodrigues@gmail.com,796.939.948-47,AB+
João Ferreira,joão.ferreira@hotmail.com,933.775.430-81,AB-
João Alves,joão.alves@yahoo.com,857.365.196-21,A-
Bruno Costa,bruno.costa@outlook.com,574.966.887-56,A-
Carla Lima,carla.lima@gmail.com,832.981.223-97,
Fernando Rodrigues,fernando.rodrigues@gmail.com,429.219.450-46,A-
Beatriz Alves,beatriz.alves@gmail.com,750.202.405-31,A-
Maria Costa,maria.costa@yahoo.com,718.276.727-95,AB-
Carla Rodrigues,carla.rodrigues@hotmail.com,332.817.567-48,AB-
Beatriz Martins,beatriz.martins@hotmail.com,730.866.890-83,B+
Fernando Martins,fernando.martins@outlook.com,638.139.788-70,A+
Pedro Silva,pedro.silva@hotmail.com,623.795.965-71,O-
Pedro Oliveira,pedro.oliveira@outlook.com,116.781.789-74,O-
Maria Alves,maria.alves@yahoo.com,404.886.677-96,A-
Juliana Pereira,juliana.pereira@hotmail.com,501.963.654-54,B-
Maria Silva,maria.silva@gmail.com,759.384.546-33,A-
Lucas Rodrigues,lucas.rodrigues@hotmail.com,176.848.753-44,A+
Ana Silva,ana.silva@yahoo.com,759.611.769-28,O+
João Ferreira,joão.ferreira@gmail.com,359.983.281-12,O-
João Oliveira,joão.oliveira@yahoo.com,804.641.255-35,A+
Ana Pereira,ana.pereira@outlook.com,683.419.794-76,AB-
Juliana Silva,juliana.silva@yahoo.com,520.240.950-17,O+
João Lima,joão.lima@outlook.com,397.781.565-67,A-
,ana.alves@outlook.com,864.618.652-38,B-
5524,carla.souza@gmail.com,539.610.167-88,B+
Juliana Pereira,juliana.pereira@outlook.com,227.574.944-15,O+
Pedro Alves,pedro.alves@hotmail.com,118.696.736-26,A-
Lucas Pereira,lucas.pereira@hotmail.com,261.441.536-69,A-
Beatriz Alves,beatriz.alves@gmail.com,241.445.604-18,AB-
Carla Ferreira,carla.ferreira@yahoo.com,706.462.478-91,O-
João Ferreira,joão.ferreira@outlook.com,404.460.701-75,AB-
Juliana Martins,juliana.martins@outlook.com,672.954.921-39,AB+
João Costa,joão.costa@hotmail.com,517.421.843-16,AB+
Lucas Souza,lucas.souza@gmail.com,228.469.146-94,A+
João Alves,joão.alves@yahoo.com,106.309.900-13,B+
Juliana Rodrigues,juliana.rodrigues@yahoo.com,630.988.798-62,O-
Bruno Rodrigues,bruno.rodrigues@outlook.com,574.914.574-12,B+
Lucas Rodrigues,lucas.rodrigues@yahoo.com,873.178.973-47,B-
Carla Oliveira,carla.oliveira@hotmail.com,708.680.622-62,O+
Beatriz Lima,beatriz.lima@yahoo.com,668.412.801-89,B-
Juliana Ferreira,juliana.ferreira@outlook.com,402.777.163-24,O+
Ana Souza,ana.souza@yahoo.com,801.709.649-42,AB+
Fernando Rodrigues,,953.229.571-51,AB+
,carla.oliveira@gmail.com,959.308.746-52,
Pedro Souza,pedro.souza@gmail.com,333.773.522-70,O-
Carla Silva,,,
Ana Rodrigues,ana.rodrigues@yahoo.com,649.380.225-95,AB-
Ana Alves,ana.alves@gmail.com,415.358.972-30,AB+
Carla Alves,carla.alves@gmail.com,752.496.337-66,A+
Bruno Lima,bruno.lima@gmail.com,154.331.828-97,O-
